country,state,year,week,date,conf,susp,total,New_values,
Brazil,Goiania City,2015,1,10/01/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,2,17/01/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,3,24/01/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,4,31/01/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,5,07/02/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,6,14/02/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,7,21/02/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,8,28/02/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,9,07/03/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,10,14/03/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,11,21/03/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,12,28/03/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,13,04/04/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,14,11/04/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,15,18/04/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,16,25/04/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,17,02/05/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,18,09/05/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,19,16/05/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,20,23/05/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,21,30/05/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,22,06/06/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,23,13/06/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,24,20/06/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,25,27/06/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,26,04/07/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,27,11/07/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,28,18/07/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,29,25/07/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,30,01/08/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,31,08/08/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,32,15/08/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,33,22/08/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,34,29/08/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,35,05/09/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,36,12/09/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,37,19/09/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,38,26/09/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,39,03/10/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,40,10/10/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,41,17/10/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,42,24/10/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,43,31/10/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,44,07/11/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,45,14/11/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,46,21/11/15,NA,NA,NA,NA,
Brazil,Goiania City,2015,47,28/11/15,NA,2,2,2,
Brazil,Goiania City,2015,48,05/12/15,NA,9,9,2,
Brazil,Goiania City,2015,49,12/12/15,NA,10,10,12,
Brazil,Goiania City,2015,50,19/12/15,NA,3,3,10,
Brazil,Goiania City,2015,51,26/12/15,NA,3,3,3,
Brazil,Goiania City,2015,52,02/01/16,NA,2,2,4,
Brazil,Goiania City,2016,1,09/01/16,NA,7,7,18,
Brazil,Goiania City,2016,2,16/01/16,NA,19,19,24,
Brazil,Goiania City,2016,3,23/01/16,NA,23,23,44,
Brazil,Goiania City,2016,4,30/01/16,NA,33,33,50,
Brazil,Goiania City,2016,5,06/02/16,NA,55,55,135,
Brazil,Goiania City,2016,6,13/02/16,NA,135,135,139,
Brazil,Goiania City,2016,7,20/02/16,NA,139,139,223,
Brazil,Goiania City,2016,8,27/02/16,NA,131,131,390,
Brazil,Goiania City,2016,9,05/03/16,NA,223,223,375,
Brazil,Goiania City,2016,10,12/03/16,NA,240,240,467,
Brazil,Goiania City,2016,11,19/03/16,NA,219,219,472,
Brazil,Goiania City,2016,12,26/03/16,NA,257,257,363,
Brazil,Goiania City,2016,13,02/04/16,NA,134,134,394,
Brazil,Goiania City,2016,14,09/04/16,NA,123,123,515,
Brazil,Goiania City,2016,15,16/04/16,NA,213,213,425,
Brazil,Goiania City,2016,16,23/04/16,NA,107,107,354,
Brazil,Goiania City,2016,17,30/04/16,NA,23,23,313,
Brazil,Goiania City,2016,18,07/05/16,NA,NA,NA,201,
Brazil,Goiania City,2016,19,14/05/16,NA,NA,NA,134,
Brazil,Goiania City,2016,20,21/05/16,NA,NA,NA,76,
Brazil,Goiania City,2016,21,28/05/16,NA,NA,NA,40,
Brazil,Goiania City,2016,22,04/06/16,NA,NA,NA,62,
Brazil,Goiania City,2016,23,11/06/16,NA,NA,NA,47,
Brazil,Goiania City,2016,24,18/06/16,NA,NA,NA,7,
Brazil,Goiania City,2016,25,25/06/16,NA,NA,NA,14,
Brazil,Goiania City,2016,26,02/07/16,NA,NA,NA,17,
Brazil,Goiania City,2016,27,09/07/16,NA,NA,NA,14,
Brazil,Goiania City,2016,28,16/07/16,NA,NA,NA,14,
Brazil,Goiania City,2016,29,23/07/16,NA,NA,NA,3,
Brazil,Goiania City,2016,30,30/07/16,NA,NA,NA,7,
Brazil,Goiania City,2016,31,06/08/16,NA,NA,NA,6,
Brazil,Goiania City,2016,32,13/08/16,NA,NA,NA,7,
Brazil,Goiania City,2016,33,20/08/16,NA,NA,NA,7,
Brazil,Goiania City,2016,34,27/08/16,NA,NA,NA,4,
Brazil,Goiania City,2016,35,03/09/16,NA,NA,NA,6,
Brazil,Goiania City,2016,36,10/09/16,NA,NA,NA,7,
Brazil,Goiania City,2016,37,17/09/16,NA,NA,NA,5,
Brazil,Goiania City,2016,38,24/09/16,NA,NA,NA,2,
